iter	Passed	Remaining
0	508	253576
1	930	231616
2	1408	233355
3	1592	197472
4	2128	210766
5	2648	218023
6	3280	231027
7	4745	291854
8	5664	309026
9	6193	303476
10	6679	296912
11	7242	294509
12	7706	288680
13	8144	282720
14	8584	277578
15	9069	274343
16	9441	268237
17	9905	265239
18	10446	264473
19	10945	262697
20	11436	260867
21	11947	259581
22	12523	259735
23	13033	258504
24	13457	255689
25	13918	253744
26	14330	251050
27	14680	247471
28	15024	244023
29	15402	241310
30	15767	238539
31	16117	235720
32	16433	232554
33	16852	230971
34	17206	228594
35	17576	226535
36	18257	228465
37	18783	228362
38	19445	229849
39	19964	229590
40	20321	227504
41	20678	225492
42	21045	223666
43	21380	221583
44	21744	219857
45	22071	217835
46	22372	215636
47	22721	213964
48	22989	211600
49	23371	210342
50	23989	211198
51	24535	211385
