iter	Passed	Remaining
0	356	177881
1	556	138684
2	784	130031
3	876	108661
4	1082	107124
5	1619	133302
6	2029	142946
7	2512	154535
8	2930	159860
9	3378	165569
10	3795	168710
11	4178	169923
12	4622	173152
13	5069	175997
14	5418	175202
15	5833	176472
16	6148	174696
17	6603	176826
18	7044	178348
19	7432	178384
20	7891	180005
21	8352	181476
22	8858	183719
23	9281	184088
24	9634	183050
25	10091	183969
26	10549	184818
27	10958	184737
28	11337	184129
29	11776	184495
30	12350	186857
31	13027	190524
32	13373	189249
33	13886	190332
34	14309	190105
35	14659	188945
36	15089	188827
37	15440	187727
38	15892	187853
39	16237	186730
40	16585	185680
41	17091	186373
42	17584	186887
43	18021	186773
44	18537	187434
45	19001	187535
46	19354	186547
47	19788	186342
48	20106	185063
49	20475	184281
50	20856	183619
51	21254	183117
